Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),38.73,0.00,91.36,,,,,,38.73,,39.27,39.85,48.40,2.18
Active Decode Throughput Per User (tokens/sec/user),38.73,0.00,91.36,,,,,,38.73,,39.27,39.85,48.40,2.18
Active Prefill Throughput (tokens/sec),4272.28,3797.04,4446.53,,,,,,4282.50,,4351.52,4354.74,4446.53,128.50
Active Prefill Throughput Per User (tokens/sec/user),4272.28,3797.04,4446.53,,,,,,4282.50,,4351.52,4354.74,4446.53,128.50
Active Total Throughput (tokens/sec),114.96,38.48,4446.53,,,,,,38.66,,39.03,39.26,4273.18,563.22
Credit-to-Start Latency (ms),3.99,3.11,6.94,79.84,3.19,3.48,3.54,3.65,3.70,3.92,4.36,6.11,6.77,0.87
Decode Duration (ms),6584.71,6495.78,6610.64,131694.25,6502.87,6531.23,6545.38,6575.27,6597.70,6604.95,6606.38,6606.96,6609.90,29.53
E2E Output Token Throughput (tokens/sec/user),38.18,37.93,38.60,763.57,37.95,38.03,38.05,38.07,38.11,38.27,38.40,38.48,38.58,0.17
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.04
Effective Decode Concurrency,0.98,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.14
Effective Decode Throughput (tokens/sec),37.98,0.00,91.36,,,,,,38.72,,39.26,39.84,48.37,5.74
Effective Decode Throughput Per User (tokens/sec/user),37.98,0.00,91.36,,,,,,38.72,,39.26,39.84,48.37,5.74
Effective Latency (CO-aware) (ms),6709.45,6634.79,6733.46,134188.95,6639.77,6659.68,6670.44,6698.86,6723.07,6727.84,6730.60,6731.64,6733.09,26.82
Effective Prefill Concurrency,0.02,0.00,1.00,,,,,,0.00,,0.00,0.00,1.00,0.13
Effective Prefill Throughput (tokens/sec),76.83,0.00,4446.53,,,,,,0.00,,0.00,0.00,4273.18,568.02
Effective Prefill Throughput Per User (tokens/sec/user),76.83,0.00,4446.53,,,,,,0.00,,0.00,0.00,4273.18,568.02
Effective Total Throughput (tokens/sec),114.81,0.00,4446.53,,,,,,38.66,,39.03,39.26,4273.18,562.88
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,256.00,256.00,256.00,5120.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,20.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.25,0.00,4.98,4.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,4.03,1.09
HTTP Connection Overhead (ms),0.41,0.00,8.26,8.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.41,6.69,1.80
HTTP Connection Reused (ratio),0.95,0.00,1.00,19.00,0.19,0.95,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.22
HTTP Data Received (KB),60.27,60.02,60.37,1205.42,60.05,60.15,60.21,60.25,60.29,60.31,60.35,60.36,60.37,0.08
HTTP Data Sent (KB),2.30,2.14,2.48,45.93,2.15,2.16,2.19,2.26,2.29,2.36,2.38,2.41,2.47,0.08
HTTP DNS Lookup (ms),0.16,0.00,3.28,3.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.16,2.66,0.71
HTTP Duration (excl. conn) (ms),6705.25,6631.28,6729.64,134105.10,6635.56,6652.72,6666.33,6694.98,6717.71,6723.72,6726.65,6727.55,6729.22,26.95
HTTP Receiving (ms),6584.72,6495.88,6610.65,131694.48,6502.95,6531.24,6545.39,6575.28,6597.71,6604.95,6606.39,6606.96,6609.91,29.52
HTTP Sending (ms),0.70,0.38,5.90,14.05,0.38,0.38,0.39,0.39,0.40,0.41,0.60,1.04,4.93,1.20
HTTP Total Time (ms),6705.67,6639.53,6729.64,134113.35,6642.25,6653.13,6666.33,6694.98,6717.71,6723.72,6726.65,6727.55,6729.22,25.85
HTTP Waiting (TTFB) (ms),119.83,115.47,129.49,2396.57,115.94,117.79,117.99,118.46,119.41,120.28,121.12,123.51,128.30,2.68
Input Sequence Length (tokens),515.85,514.00,516.00,10317.00,514.19,514.95,515.90,516.00,516.00,516.00,516.00,516.00,516.00,0.48
Inter Chunk Latency (ms),25.82,15.01,36.47,131694.25,20.59,24.95,25.44,25.66,25.81,25.99,26.25,26.59,31.04,1.41
Inter Token Latency (ms),25.82,25.47,25.99,516.45,25.50,25.61,25.67,25.75,25.87,25.91,25.91,25.93,25.98,0.12
OSL Mismatch Diff % (%),0.00,-0.39,0.39,0.00,-0.32,-0.02,0.00,0.00,0.00,0.00,0.00,0.02,0.32,0.12
Output Sequence Length (tokens),256.00,255.00,257.00,5120.00,255.19,255.95,256.00,256.00,256.00,256.00,256.00,256.05,256.81,0.32
Output Token Count (tokens),256.00,255.00,257.00,5120.00,255.19,255.95,256.00,256.00,256.00,256.00,256.00,256.05,256.81,0.32
Output Token Throughput Per User (tokens/sec/user),38.73,38.48,39.26,774.54,38.50,38.57,38.59,38.60,38.65,38.83,38.96,39.04,39.21,0.19
Prefill Throughput Per User (tokens/sec/user),4276.15,3797.04,4446.53,85522.98,3867.40,4148.85,4239.16,4264.28,4295.85,4334.23,4351.85,4359.33,4429.09,123.09
Request Latency (ms),6705.46,6631.68,6729.81,134109.12,6635.93,6652.93,6666.51,6695.16,6717.96,6723.90,6726.85,6727.73,6729.40,26.92
Time to First Output Token (ms),120.74,116.05,135.90,2414.87,116.51,118.37,118.57,119.05,120.02,121.01,121.73,124.42,133.60,3.80
Time to First Token (ms),120.74,116.05,135.90,2414.87,116.51,118.37,118.57,119.05,120.02,121.01,121.73,124.42,133.60,3.80
Time to Second Token (ms),25.65,22.52,26.83,513.02,22.73,23.57,24.09,25.16,26.02,26.38,26.67,26.72,26.81,1.12
Tokens In Flight (tokens),640.83,0.00,773.00,,,,,,641.00,,745.00,758.00,769.00,78.24

Metric,Value
Benchmark Duration (sec),134.27
Input Token Throughput (tokens/sec),76.83
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),38.13
Request Count,20.00
Request Throughput (requests/sec),0.15
Total Input Sequence Length (tokens),10317.00
Total Output Sequence Length (tokens),5120.00
Total Output Tokens (tokens),5120.00
Total Token Throughput (tokens/sec),114.96
