Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),5019.83,4.10,27524.96,,,,,,5632.77,,7657.11,8037.42,10448.99,2669.52
Active Decode Throughput Per User (tokens/sec/user),39.64,2.96,354.45,,,,,,44.06,,59.85,62.85,81.88,20.41
Active Prefill Throughput (tokens/sec),26009.44,212.17,86183.90,,,,,,26725.30,,47653.77,62346.63,79951.97,16822.18
Active Prefill Throughput Per User (tokens/sec/user),603.96,211.70,6808.16,,,,,,623.81,,814.96,1192.28,2982.14,562.92
Active Total Throughput (tokens/sec),10362.09,51.39,86183.90,,,,,,5597.26,,30398.77,36189.19,62629.83,11991.26
Credit-to-Start Latency (ms),10.98,0.51,71.40,5620.56,0.65,0.77,0.87,5.26,9.79,12.89,18.82,31.33,48.66,9.57
Decode Duration (ms),21807.94,4869.83,24348.70,11165663.11,7121.21,17865.13,19912.79,21325.65,22836.41,22998.77,23627.65,23843.94,24244.10,2956.59
E2E Output Token Throughput (tokens/sec/user),40.25,12.12,48.37,20609.61,18.79,27.77,37.10,40.48,41.50,41.89,43.97,46.01,47.94,5.06
Effective Concurrency,127.70,0.00,128.00,,,,,,128.00,,128.00,128.00,128.00,4.24
Effective Decode Concurrency,117.34,0.00,128.00,,,,,,128.00,,128.00,128.00,128.00,25.35
Effective Decode Throughput (tokens/sec),5010.48,0.00,27524.96,,,,,,5630.73,,7656.75,8036.30,10448.99,2675.80
Effective Decode Throughput Per User (tokens/sec/user),39.57,0.00,354.45,,,,,,44.03,,59.84,62.85,81.88,20.46
Effective Latency (CO-aware) (ms),24452.94,20961.11,27738.08,12519905.58,21269.14,22025.90,23030.27,24281.11,24473.45,24714.46,25995.16,26879.11,27649.56,1173.31
Effective Prefill Concurrency,10.36,0.00,128.00,,,,,,0.00,,41.00,68.00,120.00,24.92
Effective Prefill Throughput (tokens/sec),5349.89,0.00,86183.90,,,,,,0.00,,26730.65,32598.48,62346.63,12989.75
Effective Prefill Throughput Per User (tokens/sec/user),124.23,0.00,6808.16,,,,,,0.00,,623.94,677.38,1192.28,353.23
Effective Total Throughput (tokens/sec),10360.36,0.00,86183.90,,,,,,5597.26,,30398.77,36189.19,62629.83,11991.01
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,961.72,183.00,1024.00,492401.00,224.43,516.20,743.60,1012.00,1017.00,1020.00,1022.00,1022.45,1024.00,165.16
HTTP Chunks Sent,1.00,1.00,1.00,512.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.21,0.00,24.56,109.41,0.00,0.00,0.00,0.00,0.00,0.00,0.46,0.68,2.41,1.23
HTTP Connection Overhead (ms),0.25,0.00,24.56,130.11,0.00,0.00,0.00,0.00,0.00,0.00,0.46,0.68,3.87,1.38
HTTP Connection Reused (ratio),0.79,0.00,1.00,404.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.41
HTTP Data Received (KB),225.51,43.19,240.17,115461.81,52.83,120.77,174.61,237.33,238.50,239.14,239.56,239.70,239.98,38.69
HTTP Data Sent (KB),4.35,3.64,4.81,2229.43,3.91,4.02,4.12,4.24,4.37,4.48,4.58,4.62,4.76,0.18
HTTP DNS Lookup (ms),0.04,0.00,4.67,20.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.40,0.30
HTTP Duration (excl. conn) (ms),24441.78,20949.46,27708.75,12514190.05,21257.93,22012.05,23019.94,24280.21,24458.99,24686.89,25984.68,26868.54,27633.16,1172.58
HTTP Receiving (ms),22458.87,19602.79,24350.04,11498943.14,19630.51,19915.07,20405.53,21811.74,22846.23,23107.93,23629.08,23844.03,24250.63,1181.81
HTTP Sending (ms),0.63,0.09,24.77,320.78,0.22,0.27,0.31,0.36,0.38,0.59,0.90,1.58,2.94,1.26
HTTP Total Time (ms),24442.03,20949.46,27708.75,12514320.16,21257.93,22012.05,23019.94,24280.95,24458.99,24686.89,25984.68,26868.54,27633.16,1172.56
HTTP Waiting (TTFB) (ms),1982.28,149.86,4825.54,1014926.12,217.88,419.06,671.49,1349.68,1505.95,2583.47,4025.72,4483.05,4777.47,1173.47
Input Sequence Length (tokens),1024.00,1024.00,1024.00,524288.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
Inter Chunk Latency (ms),22.70,0.00,13501.99,11165663.11,10.54,13.26,15.17,17.05,19.04,21.17,22.93,29.95,123.32,60.02
Inter Token Latency (ms),23.34,18.90,70.52,11952.27,19.40,19.71,20.25,21.75,22.57,23.09,23.99,31.05,49.40,5.05
OSL Mismatch Diff % (%),-6.25,-82.23,0.10,-3198.24,-78.19,-49.70,-27.38,-1.46,-0.78,-0.39,-0.29,-0.20,0.00,16.12
Output Sequence Length (tokens),960.04,182.00,1025.00,491538.00,223.32,515.10,743.60,1009.00,1016.00,1020.00,1021.00,1022.00,1024.00,165.04
Output Token Count (tokens),960.04,182.00,1025.00,491538.00,223.32,515.10,743.60,1009.00,1016.00,1020.00,1021.00,1022.00,1024.00,165.04
Output Token Throughput Per User (tokens/sec/user),43.93,14.18,52.91,22492.18,20.25,32.21,41.69,43.31,44.31,45.98,49.38,50.74,51.54,5.38
Prefill Throughput Per User (tokens/sec/user),799.03,211.22,6808.17,409102.16,214.32,228.37,254.33,396.33,679.73,758.11,1523.49,2440.36,4691.37,779.97
Request Latency (ms),23791.04,7235.45,27708.92,12181010.12,8194.29,20025.34,21902.41,24196.65,24440.05,24627.90,25715.10,26867.04,27428.83,3051.24
Time to First Output Token (ms),1983.10,150.41,4848.07,1015347.02,219.02,419.61,672.14,1350.74,1506.48,2583.71,4026.22,4483.92,4777.98,1173.50
Time to First Token (ms),1983.10,150.41,4848.07,1015347.02,219.02,419.61,672.14,1350.74,1506.48,2583.71,4026.22,4483.92,4777.98,1173.50
Time to Second Token (ms),277.77,20.21,613.85,142215.69,21.02,79.74,215.20,294.91,300.08,303.18,306.03,308.29,331.51,68.87
Tokens In Flight (tokens),187107.67,0.00,254074.43,,,,,,188429.01,,240282.35,246638.26,251569.86,38919.57

Metric,Value
Benchmark Duration (sec),97.98
Input Token Throughput (tokens/sec),5349.89
OSL Mismatch Count,66.00
Output Token Throughput (tokens/sec),5015.70
Request Count,512.00
Request Throughput (requests/sec),5.22
Total Input Sequence Length (tokens),524288.00
Total Output Sequence Length (tokens),491538.00
Total Output Tokens (tokens),491538.00
Total Token Throughput (tokens/sec),10365.59


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
