Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),595.57,0.00,7120.55,,,,,,624.88,,651.08,660.40,808.42,186.36
Active Decode Throughput Per User (tokens/sec/user),149.05,0.00,1780.14,,,,,,156.22,,162.77,165.10,202.10,46.24
Active Prefill Throughput (tokens/sec),22715.28,4697.52,29546.33,,,,,,21483.86,,28699.98,28975.64,29546.33,5658.98
Active Prefill Throughput Per User (tokens/sec/user),6643.28,4697.52,10819.88,,,,,,6696.33,,7227.93,7386.58,10653.68,944.12
Active Total Throughput (tokens/sec),1202.56,110.87,29546.33,,,,,,623.64,,627.50,628.74,28102.74,3718.99
Credit-to-Start Latency (ms),9.49,2.45,16.83,948.87,2.66,4.92,7.36,9.45,9.57,9.75,10.72,12.15,16.79,2.16
Decode Duration (ms),6351.74,1340.36,6550.96,635173.51,2748.76,6401.49,6463.96,6468.80,6473.22,6493.94,6546.44,6548.56,6550.40,688.06
E2E Output Token Throughput (tokens/sec/user),149.93,94.52,154.23,14993.03,99.48,124.47,150.22,152.19,153.02,153.45,153.79,154.07,154.21,11.14
Effective Concurrency,3.99,0.00,4.00,,,,,,4.00,,4.00,4.00,4.00,0.22
Effective Decode Concurrency,3.89,0.00,4.00,,,,,,4.00,,4.00,4.00,4.00,0.61
Effective Decode Throughput (tokens/sec),585.35,0.00,7120.55,,,,,,624.42,,650.86,660.13,803.74,200.30
Effective Decode Throughput Per User (tokens/sec/user),146.49,0.00,1780.14,,,,,,156.10,,162.72,165.03,200.94,49.76
Effective Latency (CO-aware) (ms),6653.37,6643.05,6687.03,665336.55,6643.10,6647.00,6647.23,6649.08,6652.03,6654.27,6659.48,6663.44,6686.84,7.72
Effective Prefill Concurrency,0.09,0.00,4.00,,,,,,0.00,,0.00,0.00,4.00,0.57
Effective Prefill Throughput (tokens/sec),614.41,0.00,29546.33,,,,,,0.00,,0.00,0.00,28102.74,3800.69
Effective Prefill Throughput Per User (tokens/sec/user),179.69,0.00,10819.88,,,,,,0.00,,0.00,0.00,7130.86,1088.83
Effective Total Throughput (tokens/sec),1199.76,0.00,29546.33,,,,,,623.64,,627.50,628.74,28102.74,3715.12
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,978.20,216.00,1024.00,97820.00,439.74,713.15,969.40,1012.00,1017.00,1019.00,1021.00,1023.00,1024.00,128.79
HTTP Chunks Sent,1.00,1.00,1.00,100.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,100.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),229.34,50.85,240.10,22934.48,103.32,167.31,226.89,237.28,238.56,239.06,239.35,239.52,239.91,30.18
HTTP Data Sent (KB),4.36,3.83,4.80,436.41,3.85,4.07,4.13,4.25,4.39,4.47,4.59,4.65,4.68,0.18
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),6643.70,6630.97,6684.18,664369.63,6631.01,6634.76,6637.41,6639.36,6642.19,6644.86,6648.42,6655.09,6684.01,8.99
HTTP Receiving (ms),6489.37,6455.48,6550.96,648936.79,6455.56,6463.97,6466.40,6468.95,6473.24,6493.95,6546.45,6548.56,6550.41,32.59
HTTP Sending (ms),0.40,0.35,0.71,39.60,0.35,0.35,0.35,0.36,0.37,0.38,0.46,0.69,0.70,0.09
HTTP Total Time (ms),6643.70,6630.97,6684.18,664369.63,6631.01,6634.76,6637.41,6639.36,6642.19,6644.86,6648.42,6655.09,6684.01,8.99
HTTP Waiting (TTFB) (ms),153.93,94.08,217.39,15393.25,94.14,94.91,95.69,150.76,170.15,171.27,175.73,181.56,217.20,33.58
Input Sequence Length (tokens),1024.00,1024.00,1024.00,102400.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
Inter Chunk Latency (ms),6.50,0.56,2185.80,635173.51,1.36,5.93,6.08,6.21,6.33,6.44,6.59,6.94,12.07,11.66
Inter Token Latency (ms),6.56,6.26,10.32,656.22,6.27,6.32,6.34,6.36,6.39,6.44,6.49,7.84,9.83,0.69
