Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),612.18,0.00,6662.16,,,,,,629.32,,656.82,666.44,861.89,182.16
Active Decode Throughput Per User (tokens/sec/user),153.20,0.00,1665.54,,,,,,157.33,,164.20,166.61,215.47,45.21
Active Prefill Throughput (tokens/sec),22923.80,5540.73,30151.79,,,,,,22744.90,,29532.80,30151.79,30151.79,5649.64
Active Prefill Throughput Per User (tokens/sec/user),6673.00,5539.78,11453.15,,,,,,6631.37,,7537.95,7537.95,10691.20,916.21
Active Total Throughput (tokens/sec),1223.83,156.08,30151.79,,,,,,627.90,,631.55,631.55,27792.41,3746.26
Credit-to-Start Latency (ms),10.12,2.89,20.37,202.40,2.94,3.12,3.15,8.41,9.62,14.41,15.13,15.48,19.40,4.63
Decode Duration (ms),6464.24,6429.31,6536.50,129284.70,6429.31,6429.31,6429.38,6438.14,6453.49,6474.62,6517.98,6524.87,6534.17,34.85
E2E Output Token Throughput (tokens/sec/user),151.11,107.78,154.63,3022.13,115.38,145.80,151.95,153.12,153.72,154.06,154.43,154.51,154.60,10.04
Effective Concurrency,3.98,0.00,4.00,,,,,,4.00,,4.00,4.00,4.00,0.23
Effective Decode Concurrency,3.89,0.00,4.00,,,,,,4.00,,4.00,4.00,4.00,0.62
Effective Decode Throughput (tokens/sec),601.53,0.00,6662.16,,,,,,628.89,,656.44,666.19,850.48,197.51
Effective Decode Throughput Per User (tokens/sec/user),150.54,0.00,1665.54,,,,,,157.22,,164.11,166.55,212.62,49.09
Effective Latency (CO-aware) (ms),6628.63,6611.68,6644.64,132572.63,6612.73,6616.89,6617.63,6617.82,6621.99,6642.11,6644.58,6644.62,6644.63,12.28
Effective Prefill Concurrency,0.09,0.00,4.00,,,,,,0.00,,0.00,0.00,4.00,0.57
Effective Prefill Throughput (tokens/sec),618.84,0.00,30151.79,,,,,,0.00,,0.00,0.00,27792.41,3829.47
Effective Prefill Throughput Per User (tokens/sec/user),180.14,0.00,11453.15,,,,,,0.00,,0.00,0.00,6948.10,1091.92
Effective Total Throughput (tokens/sec),1220.37,0.00,30151.79,,,,,,627.90,,631.55,631.55,27792.41,3741.53
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,998.70,710.00,1020.00,19974.00,759.97,959.85,1001.80,1014.75,1016.00,1019.00,1020.00,1020.00,1020.00,66.98
HTTP Chunks Sent,1.00,1.00,1.00,20.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.91,0.00,4.62,18.25,0.00,0.00,0.00,0.00,0.00,0.00,4.55,4.59,4.62,1.83
HTTP Connection Overhead (ms),1.55,0.00,7.86,31.06,0.00,0.00,0.00,0.00,0.00,0.00,7.72,7.86,7.86,3.11
HTTP Connection Reused (ratio),0.80,0.00,1.00,16.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.40
HTTP Data Received (KB),234.16,165.76,239.51,4683.19,177.56,224.77,234.99,237.84,238.18,238.79,239.22,239.47,239.50,15.88
HTTP Data Sent (KB),4.42,3.89,4.84,88.32,3.93,4.07,4.08,4.28,4.45,4.60,4.64,4.72,4.81,0.23
HTTP DNS Lookup (ms),0.64,0.00,3.27,12.81,0.00,0.00,0.00,0.00,0.00,0.00,3.17,3.24,3.27,1.28
HTTP Duration (excl. conn) (ms),6618.20,6595.39,6635.39,132363.93,6596.70,6601.96,6602.58,6605.99,6615.02,6632.29,6634.89,6635.13,6635.34,13.38
HTTP Receiving (ms),6464.61,6429.40,6536.50,129292.13,6429.40,6429.40,6429.48,6438.15,6453.50,6474.63,6517.99,6524.88,6534.18,34.55
HTTP Sending (ms),1.57,0.34,5.50,31.33,0.34,0.35,0.36,0.37,0.57,1.25,5.46,5.49,5.50,1.99
HTTP Total Time (ms),6619.75,6595.39,6635.39,132394.98,6596.70,6601.96,6602.58,6605.99,6622.04,6632.29,6634.89,6635.13,6635.34,13.11
HTTP Waiting (TTFB) (ms),152.02,86.06,181.43,3040.46,86.61,88.79,94.90,137.45,167.47,179.41,181.04,181.26,181.40,34.13
Input Sequence Length (tokens),1027.85,1027.00,1028.00,20557.00,1027.00,1027.00,1027.00,1028.00,1028.00,1028.00,1028.00,1028.00,1028.00,0.36
Inter Chunk Latency (ms),6.48,0.58,93.50,129284.70,1.40,5.89,6.04,6.18,6.31,6.43,6.63,7.92,12.73,1.96
Inter Token Latency (ms),6.51,6.30,9.06,130.19,6.30,6.31,6.31,6.33,6.37,6.41,6.45,6.74,8.59,0.59
OSL Mismatch Diff % (%),-2.33,-30.57,-0.20,-46.68,-25.67,-6.07,-1.97,-0.93,-0.59,-0.37,-0.20,-0.20,-0.20,6.55
Output Sequence Length (tokens),1000.10,711.00,1022.00,20002.00,761.16,961.80,1003.80,1014.50,1018.00,1020.25,1022.00,1022.00,1022.00,67.07
Output Token Count (tokens),1000.10,711.00,1022.00,20002.00,761.16,961.80,1003.80,1014.50,1018.00,1020.25,1022.00,1022.00,1022.00,67.07
