Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),163.21,0.00,6633.23,,,,,,164.65,,169.21,171.59,212.76,64.72
Active Decode Throughput Per User (tokens/sec/user),163.21,0.00,6633.23,,,,,,164.65,,169.21,171.59,212.76,64.72
Active Prefill Throughput (tokens/sec),16764.24,11767.99,17463.66,,,,,,17018.02,,17247.92,17259.53,17318.57,871.85
Active Prefill Throughput Per User (tokens/sec/user),16764.24,11767.99,17463.66,,,,,,17018.02,,17247.92,17259.53,17318.57,871.85
Active Total Throughput (tokens/sec),1381.47,108.87,17463.66,,,,,,164.60,,165.72,16905.17,17223.12,4335.44
Credit-to-Start Latency (ms),2.62,2.04,4.54,261.90,2.42,2.45,2.48,2.53,2.61,2.68,2.72,2.75,2.85,0.22
Decode Duration (ms),771.16,759.02,783.65,77116.07,760.69,767.86,769.66,770.45,771.35,772.00,772.48,772.86,782.61,2.70
E2E Output Token Throughput (tokens/sec/user),152.45,103.72,155.25,15245.22,141.55,146.69,150.22,153.30,153.85,154.01,154.19,154.28,154.67,5.45
Effective Concurrency,0.99,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.08
Effective Decode Concurrency,0.92,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.27
Effective Decode Throughput (tokens/sec),150.28,0.00,6633.23,,,,,,164.25,,168.98,171.22,208.80,76.16
Effective Decode Throughput Per User (tokens/sec/user),150.28,0.00,6633.23,,,,,,164.25,,168.98,171.22,208.80,76.16
Effective Latency (CO-aware) (ms),834.99,830.24,860.74,83498.80,831.74,832.39,832.70,833.53,834.38,834.77,836.29,844.12,846.41,3.73
Effective Prefill Concurrency,0.07,0.00,1.00,,,,,,0.00,,0.00,1.00,1.00,0.26
Effective Prefill Throughput (tokens/sec),1222.53,0.00,17463.66,,,,,,0.00,,0.00,16905.17,17223.12,4365.27
Effective Prefill Throughput Per User (tokens/sec/user),1222.53,0.00,17463.66,,,,,,0.00,,0.00,16905.17,17223.12,4365.27
Effective Total Throughput (tokens/sec),1372.81,0.00,17463.66,,,,,,164.60,,165.72,16905.17,17223.12,4323.21
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,126.51,45.00,128.00,12651.00,117.27,122.95,126.00,127.00,128.00,128.00,128.00,128.00,128.00,8.34
HTTP Chunks Sent,1.00,1.00,1.00,100.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,100.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),29.96,10.78,30.43,2996.30,27.80,29.24,29.86,30.14,30.29,30.32,30.35,30.37,30.39,1.96
HTTP Data Sent (KB),4.35,3.81,4.83,434.95,4.01,4.09,4.13,4.22,4.34,4.48,4.59,4.61,4.77,0.18
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
