Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),1131.64,4.16,5096.77,,,,,,650.17,,2390.78,2453.33,3928.82,1034.40
Active Decode Throughput Per User (tokens/sec/user),114.73,4.16,954.58,,,,,,144.92,,163.54,167.59,295.68,73.43
Active Prefill Throughput (tokens/sec),24225.94,1520.23,33607.59,,,,,,28505.03,,33607.59,33607.59,33607.59,8766.39
Active Prefill Throughput Per User (tokens/sec/user),2960.86,1520.23,14436.70,,,,,,1900.34,,6271.91,8313.11,8313.11,2393.96
Active Total Throughput (tokens/sec),9249.44,160.50,34421.77,,,,,,2070.58,,33252.43,33607.59,33607.59,12033.12
Credit-to-Start Latency (ms),3.52,2.98,3.90,70.42,3.02,3.17,3.29,3.46,3.52,3.67,3.73,3.80,3.88,0.20
Decode Duration (ms),958.27,791.14,1323.76,19165.34,791.15,791.22,791.29,866.98,867.34,1092.15,1092.20,1103.85,1279.78,143.97
E2E Output Token Throughput (tokens/sec/user),93.03,81.53,134.05,1860.53,81.55,81.66,81.93,82.85,83.03,83.49,133.97,134.02,134.05,20.47
Effective Concurrency,11.34,0.00,16.00,,,,,,16.00,,16.00,16.00,16.00,5.86
Effective Decode Concurrency,7.65,0.00,16.00,,,,,,4.00,,16.00,16.00,16.00,6.36
Effective Decode Throughput (tokens/sec),1009.37,0.00,5096.77,,,,,,640.84,,2379.04,2445.47,3928.82,1038.16
Effective Decode Throughput Per User (tokens/sec/user),102.34,0.00,954.58,,,,,,143.09,,163.05,167.18,292.82,77.96
Effective Latency (CO-aware) (ms),1424.18,958.31,1546.56,28483.62,958.33,958.39,958.60,1534.39,1536.87,1545.12,1545.51,1545.99,1546.45,232.76
Effective Prefill Concurrency,3.69,0.00,16.00,,,,,,0.00,,15.00,16.00,16.00,5.93
Effective Prefill Throughput (tokens/sec),8207.51,0.00,33607.59,,,,,,0.00,,33252.43,33607.59,33607.59,12550.19
Effective Prefill Throughput Per User (tokens/sec/user),1003.11,0.00,14436.70,,,,,,0.00,,2100.47,6271.91,8313.11,1976.22
Effective Total Throughput (tokens/sec),9216.88,0.00,34421.77,,,,,,2070.58,,33252.43,33607.59,33607.59,12024.41
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,126.75,125.00,128.00,2535.00,125.00,125.00,125.00,126.00,127.00,127.00,128.00,128.00,128.00,0.94
HTTP Chunks Sent,1.00,1.00,1.00,20.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),3.96,0.00,5.93,79.29,0.00,0.00,0.00,4.53,4.81,4.97,5.31,5.39,5.82,2.01
HTTP Connection Overhead (ms),6.81,0.00,9.94,136.17,0.00,0.00,0.00,7.85,8.37,8.64,9.06,9.25,9.80,3.44
HTTP Connection Reused (ratio),0.20,0.00,1.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.40
HTTP Data Received (KB),30.03,29.63,30.36,600.60,29.64,29.65,29.65,29.88,30.06,30.13,30.31,30.34,30.36,0.22
HTTP Data Sent (KB),4.39,3.85,4.63,87.75,3.91,4.13,4.25,4.33,4.38,4.53,4.54,4.60,4.62,0.17
HTTP DNS Lookup (ms),2.84,0.00,4.01,56.88,0.00,0.00,0.00,3.18,3.47,3.73,3.84,3.86,3.98,1.44
HTTP Duration (excl. conn) (ms),1420.23,954.59,1542.41,28404.69,954.64,954.86,955.18,1530.32,1532.74,1541.05,1541.55,1542.00,1542.32,232.52
HTTP Receiving (ms),958.36,791.15,1323.87,19167.22,791.16,791.22,791.28,867.10,867.45,1092.29,1092.31,1103.96,1279.89,143.99
HTTP Sending (ms),4.85,0.56,7.08,97.02,0.56,0.57,0.60,5.44,5.77,5.95,6.33,6.49,6.97,2.16
HTTP Total Time (ms),1427.04,954.59,1552.35,28540.86,954.64,954.86,955.18,1538.60,1541.18,1549.41,1550.46,1551.25,1552.13,235.93
HTTP Waiting (TTFB) (ms),457.02,70.32,668.47,9140.45,87.89,158.21,163.06,374.19,434.98,667.91,668.22,668.29,668.43,204.60
Input Sequence Length (tokens),1027.80,1027.00,1028.00,20556.00,1027.00,1027.00,1027.00,1028.00,1028.00,1028.00,1028.00,1028.00,1028.00,0.40
Inter Chunk Latency (ms),7.62,1.04,240.20,19165.34,3.17,3.57,6.04,6.41,6.80,7.04,7.35,9.69,12.10,13.82
Inter Token Latency (ms),7.59,6.23,10.68,151.75,6.23,6.23,6.23,6.83,6.88,8.62,8.74,8.90,10.32,1.19
OSL Mismatch Diff % (%),-0.47,-2.34,0.00,-9.38,-2.34,-2.34,-1.64,-0.78,0.00,0.00,0.00,0.00,0.00,0.80
Output Sequence Length (tokens),127.40,125.00,128.00,2548.00,125.00,125.00,125.90,127.00,128.00,128.00,128.00,128.00,128.00,1.02
Output Token Count (tokens),127.40,125.00,128.00,2548.00,125.00,125.00,125.90,127.00,128.00,128.00,128.00,128.00,128.00,1.02
Output Token Throughput Per User (tokens/sec/user),134.78,93.67,160.53,2695.54,97.45,112.54,114.36,116.05,145.30,146.46,160.50,160.51,160.52,19.28
Prefill Throughput Per User (tokens/sec/user),3343.00,1520.23,14436.69,66860.01,1520.36,1520.89,1522.04,1524.16,2330.79,3025.85,6273.94,6687.54,12886.86,3045.98
Request Latency (ms),1420.66,954.84,1542.89,28413.20,954.89,955.08,955.41,1530.80,1533.21,1541.52,1542.02,1542.51,1542.82,232.62
Time to First Output Token (ms),462.39,71.21,675.90,9247.86,88.78,159.08,163.85,380.72,441.05,674.28,674.84,675.57,675.84,206.41
Time to First Token (ms),462.39,71.21,675.90,9247.86,88.78,159.08,163.85,380.72,441.05,674.28,674.84,675.57,675.84,206.41
Time to Second Token (ms),100.82,1.35,240.20,2016.43,1.37,1.47,1.48,3.95,4.07,234.16,234.30,234.60,239.08,111.49
Tokens In Flight (tokens),12099.76,0.00,18456.84,,,,,,16445.00,,17866.04,18168.99,18393.44,6218.86

Metric,Value
Benchmark Duration (sec),2.50
Input Token Throughput (tokens/sec),8207.51
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),1017.35
Request Count,20.00
Request Throughput (requests/sec),7.99
Total Input Sequence Length (tokens),20556.00
Total Output Sequence Length (tokens),2548.00
Total Output Tokens (tokens),2548.00
Total Token Throughput (tokens/sec),9224.86
