Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),2268.99,0.00,11303.43,,,,,,161.34,,6230.77,6418.58,9113.43,2918.97
Active Decode Throughput Per User (tokens/sec/user),37.53,0.00,306.17,,,,,,3.67,,97.50,100.93,144.49,45.12
Active Prefill Throughput (tokens/sec),26635.49,425.29,72849.38,,,,,,21135.27,,63186.27,64564.50,72849.38,20019.54
Active Prefill Throughput Per User (tokens/sec/user),676.21,425.29,4876.90,,,,,,571.22,,1016.98,1077.29,2250.68,345.95
Active Total Throughput (tokens/sec),19819.54,96.79,72849.38,,,,,,12231.66,,53055.37,64105.92,68946.34,19325.87
Credit-to-Start Latency (ms),3.29,0.84,10.44,841.51,0.99,1.29,1.51,2.27,2.64,3.84,6.37,7.04,9.55,1.86
Decode Duration (ms),2322.02,1213.38,3499.71,594436.14,1311.16,1334.35,1394.74,1785.62,2339.43,2927.26,3260.98,3296.19,3461.33,646.40
E2E Output Token Throughput (tokens/sec/user),34.43,30.98,35.33,8814.65,33.02,33.67,33.99,34.26,34.50,34.71,34.79,34.92,35.24,0.43
Effective Concurrency,63.76,0.00,64.00,,,,,,64.00,,64.00,64.00,64.00,2.71
Effective Decode Concurrency,40.00,0.00,64.00,,,,,,46.00,,64.00,64.00,64.00,22.79
Effective Decode Throughput (tokens/sec),2177.87,0.00,11303.43,,,,,,154.99,,6212.86,6412.47,9101.26,2894.25
Effective Decode Throughput Per User (tokens/sec/user),36.03,0.00,306.17,,,,,,3.66,,97.36,100.55,142.40,44.81
Effective Latency (CO-aware) (ms),3705.78,3624.57,3761.01,948680.56,3633.77,3649.68,3679.88,3690.48,3708.72,3725.08,3739.15,3745.74,3756.49,26.82
Effective Prefill Concurrency,23.77,0.00,64.00,,,,,,18.00,,57.00,63.00,64.00,22.75
Effective Prefill Throughput (tokens/sec),17634.43,0.00,72849.38,,,,,,10156.35,,52909.12,64069.44,68946.34,20593.01
Effective Prefill Throughput Per User (tokens/sec/user),447.69,0.00,4876.90,,,,,,483.64,,881.82,1024.83,1864.22,426.08
Effective Total Throughput (tokens/sec),19812.29,0.00,72849.38,,,,,,12231.66,,53055.37,64105.92,68946.34,19326.05
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
