Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),5568.40,9.97,17420.96,,,,,,8342.95,,10186.34,11409.87,14420.63,4669.71
Active Decode Throughput Per User (tokens/sec/user),44.77,3.14,307.35,,,,,,65.50,,79.72,89.59,114.21,35.65
Active Prefill Throughput (tokens/sec),25976.78,214.21,79604.90,,,,,,23890.00,,46571.65,56997.32,74954.74,16525.18
Active Prefill Throughput Per User (tokens/sec/user),585.26,213.12,5458.68,,,,,,402.41,,897.36,2278.36,3769.51,690.94
Active Total Throughput (tokens/sec),16951.86,72.81,79604.90,,,,,,7535.80,,38714.15,47362.79,66263.35,15093.33
Credit-to-Start Latency (ms),8.23,1.12,30.33,4215.28,1.22,1.55,2.62,3.78,5.82,11.44,16.66,20.70,26.01,5.99
Decode Duration (ms),4530.34,1416.30,5634.00,2319534.15,2428.10,3420.82,3626.72,4266.72,4568.33,4953.22,5382.83,5471.93,5586.55,655.93
E2E Output Token Throughput (tokens/sec/user),44.23,15.32,59.50,22646.99,29.20,39.52,41.24,42.81,43.91,44.93,47.22,52.64,55.91,4.05
Effective Concurrency,127.41,0.00,128.00,,,,,,128.00,,128.00,128.00,128.00,5.79
Effective Decode Concurrency,102.21,0.00,128.00,,,,,,128.00,,128.00,128.00,128.00,35.83
Effective Decode Throughput (tokens/sec),5540.07,0.00,17420.96,,,,,,8290.90,,10185.33,11338.13,14420.63,4674.64
Effective Decode Throughput Per User (tokens/sec/user),44.54,0.00,307.35,,,,,,65.31,,79.70,89.43,114.21,35.71
Effective Latency (CO-aware) (ms),5727.06,4310.77,6719.29,2932256.25,4588.15,4873.27,5422.87,5666.82,5776.35,5863.04,6007.68,6213.43,6503.78,373.95
Effective Prefill Concurrency,25.20,0.00,128.00,,,,,,0.00,,80.00,96.00,120.00,35.40
Effective Prefill Throughput (tokens/sec),11406.75,0.00,79604.90,,,,,,0.00,,36167.20,45985.58,65834.16,16914.80
Effective Prefill Throughput Per User (tokens/sec/user),257.00,0.00,5458.68,,,,,,0.00,,509.59,697.95,3267.83,542.21
Effective Total Throughput (tokens/sec),16946.83,0.00,79604.90,,,,,,7535.80,,38714.15,47362.79,66263.35,15093.91
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,248.07,86.00,255.00,127010.00,108.10,235.65,247.00,251.00,252.00,254.00,255.00,255.00,255.00,21.44
HTTP Chunks Sent,1.00,1.00,1.00,512.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.59,0.00,25.98,302.23,0.00,0.00,0.00,0.00,0.00,0.00,1.71,2.56,7.50,2.11
HTTP Connection Overhead (ms),0.67,0.00,25.98,344.19,0.00,0.00,0.00,0.00,0.00,0.00,1.71,2.56,11.70,2.44
HTTP Connection Reused (ratio),0.79,0.00,1.00,404.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.41
HTTP Data Received (KB),58.42,20.47,60.17,29911.53,25.67,55.40,58.26,59.02,59.44,59.84,60.02,60.08,60.13,5.02
HTTP Data Sent (KB),2.24,1.87,2.53,1148.89,1.92,2.06,2.10,2.18,2.25,2.32,2.38,2.41,2.47,0.11
HTTP DNS Lookup (ms),0.08,0.00,5.33,41.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.40,0.55
HTTP Duration (excl. conn) (ms),5718.67,4302.13,6715.10,2927959.64,4576.10,4859.94,5413.24,5662.77,5768.66,5857.87,5992.33,6205.84,6482.09,373.78
HTTP Receiving (ms),4587.83,3344.95,5634.01,2348970.99,3413.51,3479.06,3729.50,4276.38,4569.83,4954.85,5416.82,5496.38,5586.55,574.17
HTTP Sending (ms),0.95,0.08,26.13,486.72,0.10,0.24,0.27,0.29,0.38,0.64,1.93,2.80,8.08,2.11
HTTP Total Time (ms),5719.34,4302.13,6715.10,2928303.84,4576.10,4859.94,5413.24,5662.77,5770.03,5858.43,5992.33,6205.84,6482.09,373.94
HTTP Waiting (TTFB) (ms),1129.89,93.19,2391.72,578501.93,134.82,211.05,335.02,743.72,1134.91,1429.60,2054.66,2208.18,2367.90,580.62
Input Sequence Length (tokens),512.00,512.00,512.00,262144.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,0.00
Inter Chunk Latency (ms),18.34,0.00,2004.57,2319534.15,8.13,9.15,10.53,12.63,13.21,13.87,14.95,24.83,289.85,35.30
Inter Token Latency (ms),18.30,12.99,51.51,9368.19,13.26,13.71,14.68,16.80,18.19,19.91,21.35,21.83,23.57,2.90
OSL Mismatch Diff % (%),-2.47,-67.19,1.17,-1266.02,-54.39,-6.60,-3.48,-1.56,-0.78,0.00,0.00,0.00,0.00,8.07
Output Sequence Length (tokens),249.67,84.00,259.00,127831.00,116.76,239.10,247.10,252.00,254.00,256.00,256.00,256.00,256.00,20.66
Output Token Count (tokens),249.67,84.00,259.00,127831.00,116.76,239.10,247.10,252.00,254.00,256.00,256.00,256.00,256.00,20.66
Output Token Throughput Per User (tokens/sec/user),55.84,19.42,76.96,28591.74,42.42,45.80,46.85,50.22,54.98,59.51,68.13,72.94,75.41,8.11
Prefill Throughput Per User (tokens/sec/user),729.33,212.02,5458.68,373415.27,216.06,231.82,248.78,358.02,451.03,687.94,1525.52,2420.32,3781.35,753.00
Request Latency (ms),5661.35,3455.22,6715.27,2898609.22,3835.78,4584.95,5102.05,5618.04,5759.64,5855.63,5991.40,6201.67,6482.09,461.71
Time to First Output Token (ms),1131.01,93.80,2414.84,579075.07,135.41,211.54,335.62,744.25,1135.17,1430.11,2058.06,2208.65,2369.71,581.06
Time to First Token (ms),1131.01,93.80,2414.84,579075.07,135.41,211.54,335.62,744.25,1135.17,1430.11,2058.06,2208.65,2369.71,581.06
Time to Second Token (ms),231.25,2.63,587.44,118400.93,19.38,30.00,38.15,148.10,287.84,293.24,300.57,310.21,312.65,106.19
Tokens In Flight (tokens),76092.45,0.00,96847.30,,,,,,74019.81,,92428.29,94430.11,95950.18,10737.77

Metric,Value
Benchmark Duration (sec),22.97
Input Token Throughput (tokens/sec),11406.75
OSL Mismatch Count,31.00
Output Token Throughput (tokens/sec),5562.35
Request Count,512.00
Request Throughput (requests/sec),22.28
Total Input Sequence Length (tokens),262144.00
Total Output Sequence Length (tokens),127831.00
Total Output Tokens (tokens),127831.00
Total Token Throughput (tokens/sec),16969.10
