Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),617.23,0.00,7405.84,,,,,,644.59,,665.70,675.47,916.57,205.06
Active Decode Throughput Per User (tokens/sec/user),154.93,0.00,1851.46,,,,,,161.15,,166.44,168.87,229.14,50.04
Active Prefill Throughput (tokens/sec),16857.53,3448.67,20827.64,,,,,,19054.42,,19916.05,20323.41,20827.64,3841.28
Active Prefill Throughput Per User (tokens/sec/user),4773.93,3446.95,6115.40,,,,,,4812.61,,5095.75,5326.93,6019.44,410.75
Active Total Throughput (tokens/sec),1792.46,139.32,20827.64,,,,,,639.08,,642.87,14430.30,19887.50,4318.29
Credit-to-Start Latency (ms),3.77,2.32,10.00,377.07,2.36,2.83,3.43,3.49,3.58,3.69,3.97,5.45,9.47,1.04
Decode Duration (ms),1553.62,187.85,1605.92,155362.29,800.07,1486.80,1571.52,1574.15,1575.36,1585.96,1601.66,1602.16,1604.79,160.96
E2E Output Token Throughput (tokens/sec/user),149.41,97.96,153.45,14940.91,138.22,145.61,146.89,148.74,150.40,151.47,151.80,151.88,153.12,5.63
Effective Concurrency,3.98,0.00,4.00,,,,,,4.00,,4.00,4.00,4.00,0.23
Effective Decode Concurrency,3.73,0.00,4.00,,,,,,4.00,,4.00,4.00,4.00,0.97
Effective Decode Throughput (tokens/sec),584.38,0.00,7405.84,,,,,,643.31,,665.10,674.74,899.65,242.92
Effective Decode Throughput Per User (tokens/sec/user),146.69,0.00,1851.46,,,,,,160.84,,166.28,168.69,224.91,59.83
Effective Latency (CO-aware) (ms),1693.10,1677.78,1726.09,169309.57,1681.87,1686.21,1688.24,1690.14,1692.56,1694.08,1698.46,1699.10,1725.91,7.22
Effective Prefill Concurrency,0.25,0.00,4.00,,,,,,0.00,,0.00,3.00,4.00,0.94
Effective Prefill Throughput (tokens/sec),1206.41,0.00,20827.64,,,,,,0.00,,0.00,14273.27,19887.50,4465.16
Effective Prefill Throughput Per User (tokens/sec/user),341.65,0.00,6115.40,,,,,,0.00,,0.00,4627.89,5019.36,1235.45
Effective Total Throughput (tokens/sec),1790.79,0.00,20827.64,,,,,,639.08,,642.87,14430.30,19887.50,4316.63
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,249.40,31.00,256.00,24940.00,127.03,236.85,248.90,253.00,254.00,256.00,256.00,256.00,256.00,25.85
HTTP Chunks Sent,1.00,1.00,1.00,100.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,100.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),58.73,7.59,60.35,5872.77,30.06,55.83,58.62,59.49,59.95,60.15,60.30,60.32,60.34,6.05
HTTP Data Sent (KB),2.22,2.02,2.40,222.36,2.04,2.07,2.10,2.17,2.21,2.29,2.35,2.39,2.40,0.09
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),1689.13,1667.57,1723.36,168913.33,1670.92,1680.35,1684.39,1685.94,1688.60,1690.11,1694.73,1695.39,1723.27,7.74
HTTP Receiving (ms),1581.45,1570.12,1605.93,158144.99,1570.20,1571.90,1573.49,1574.56,1575.42,1585.98,1601.67,1602.17,1604.80,11.34
HTTP Sending (ms),0.41,0.33,1.72,40.59,0.34,0.34,0.35,0.35,0.36,0.38,0.44,0.52,1.63,0.19
HTTP Total Time (ms),1689.13,1667.57,1723.36,168913.33,1670.92,1680.35,1684.39,1685.94,1688.60,1690.11,1694.73,1695.39,1723.27,7.74
HTTP Waiting (TTFB) (ms),107.28,83.20,147.91,10727.76,84.09,85.00,86.32,98.26,110.88,114.30,118.88,120.90,147.86,13.50
Input Sequence Length (tokens),512.00,512.00,512.00,51200.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,0.00
Inter Chunk Latency (ms),6.26,0.54,116.69,155362.29,1.27,5.77,5.95,6.08,6.16,6.26,6.45,7.03,11.73,1.73
Inter Token Latency (ms),6.27,6.15,6.73,626.80,6.15,6.17,6.18,6.18,6.26,6.32,6.38,6.43,6.61,0.10
OSL Mismatch Diff % (%),-2.73,-88.28,0.39,-273.05,-50.77,-8.26,-3.16,-1.95,-0.78,0.00,0.00,0.00,0.00,10.17
Output Sequence Length (tokens),249.01,30.00,257.00,24901.00,126.03,234.85,247.90,251.00,254.00,256.00,256.00,256.00,256.01,26.03
Output Token Count (tokens),249.01,30.00,257.00,24901.00,126.03,234.85,247.90,251.00,254.00,256.00,256.00,256.00,256.01,26.03
Output Token Throughput Per User (tokens/sec/user),159.58,148.61,162.54,15958.12,151.23,155.44,156.71,158.20,159.78,161.83,161.93,162.03,162.47,2.49
Prefill Throughput Per User (tokens/sec/user),4824.23,3445.23,6115.42,482423.28,3448.64,4216.75,4285.42,4455.34,4596.96,5076.88,5894.86,5986.16,6050.79,635.48
Request Latency (ms),1661.50,306.25,1723.59,166150.40,886.76,1601.21,1680.44,1685.69,1688.70,1690.24,1694.89,1695.55,1723.46,160.69
Time to First Output Token (ms),107.88,83.72,148.61,10788.11,84.62,85.53,86.86,100.87,111.38,114.92,119.48,121.42,148.46,13.47
Time to First Token (ms),107.88,83.72,148.61,10788.11,84.62,85.53,86.86,100.87,111.38,114.92,119.48,121.42,148.46,13.47
Time to Second Token (ms),11.16,0.94,37.37,1116.00,0.95,2.84,3.61,4.04,4.39,12.98,32.95,33.37,34.65,12.35
Tokens In Flight (tokens),2503.52,0.00,3065.99,,,,,,2509.59,,2938.51,2996.87,3043.03,336.90

Metric,Value
Benchmark Duration (sec),42.43
Input Token Throughput (tokens/sec),1206.41
OSL Mismatch Count,8.00
Output Token Throughput (tokens/sec),586.73
Request Count,100.00
Request Throughput (requests/sec),2.36
Total Input Sequence Length (tokens),51200.00
Total Output Sequence Length (tokens),24901.00
Total Output Tokens (tokens),24901.00
Total Token Throughput (tokens/sec),1793.14


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
