Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),160.38,0.00,6597.82,,,,,,160.62,,166.85,169.54,185.02,66.06
Active Decode Throughput Per User (tokens/sec/user),160.38,0.00,6597.82,,,,,,160.62,,166.85,169.54,185.02,66.06
Active Prefill Throughput (tokens/sec),21539.47,19904.58,22435.58,,,,,,21667.68,,21886.39,22087.15,22425.14,453.62
Active Prefill Throughput Per User (tokens/sec/user),21539.47,19904.58,22435.58,,,,,,21667.68,,21886.39,22087.15,22425.14,453.62
Active Total Throughput (tokens/sec),2453.50,154.58,22435.58,,,,,,160.97,,20851.25,21676.87,21903.53,6617.29
Credit-to-Start Latency (ms),3.74,2.72,7.13,373.65,3.23,3.49,3.54,3.62,3.67,3.74,3.82,3.93,6.96,0.50
Decode Duration (ms),1582.68,1570.10,1591.87,158268.37,1570.18,1577.73,1579.64,1581.70,1582.99,1583.90,1585.17,1586.20,1590.53,3.09
E2E Output Token Throughput (tokens/sec/user),143.75,138.98,145.27,14374.68,139.64,141.73,142.23,143.43,144.10,144.46,144.64,144.69,145.24,1.07
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.07
Effective Decode Concurrency,0.89,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.31
Effective Decode Throughput (tokens/sec),142.53,0.00,6597.82,,,,,,159.87,,166.41,169.02,180.59,80.14
Effective Decode Throughput Per User (tokens/sec/user),142.53,0.00,6597.82,,,,,,159.87,,166.41,169.02,180.59,80.14
Effective Latency (CO-aware) (ms),1776.65,1765.89,1789.65,177665.06,1766.10,1771.74,1772.64,1773.97,1776.00,1779.34,1781.92,1783.13,1786.27,3.89
Effective Prefill Concurrency,0.11,0.00,1.00,,,,,,0.00,,1.00,1.00,1.00,0.31
Effective Prefill Throughput (tokens/sec),2299.84,0.00,22435.58,,,,,,0.00,,20836.10,21676.87,21903.53,6653.57
Effective Prefill Throughput Per User (tokens/sec/user),2299.84,0.00,22435.58,,,,,,0.00,,20836.10,21676.87,21903.53,6653.57
Effective Total Throughput (tokens/sec),2442.37,0.00,22435.58,,,,,,160.97,,20836.10,21676.87,21903.53,6604.32
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,254.85,250.00,256.00,25485.00,250.99,252.00,253.00,254.00,255.00,256.00,256.00,256.00,256.00,1.37
HTTP Chunks Sent,1.00,1.00,1.00,100.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,100.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),59.99,58.81,60.46,5998.97,58.94,59.41,59.60,59.83,60.06,60.23,60.32,60.37,60.39,0.32
HTTP Data Sent (KB),17.02,15.55,18.31,1702.11,15.57,16.08,16.43,16.72,17.03,17.30,17.69,17.85,18.24,0.53
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),1772.74,1762.02,1785.68,177273.71,1762.41,1767.81,1768.81,1770.06,1772.12,1775.39,1778.11,1779.24,1783.34,3.90
HTTP Receiving (ms),1582.76,1570.11,1591.86,158275.80,1570.18,1577.74,1579.91,1581.78,1583.09,1583.99,1585.31,1586.20,1590.54,3.09
HTTP Sending (ms),0.38,0.35,0.89,37.94,0.35,0.36,0.36,0.36,0.37,0.37,0.39,0.39,0.85,0.07
HTTP Total Time (ms),1772.74,1762.02,1785.68,177273.71,1762.41,1767.81,1768.81,1770.06,1772.12,1775.39,1778.11,1779.24,1783.34,3.90
HTTP Waiting (TTFB) (ms),189.60,182.02,205.18,18959.97,182.11,184.89,186.59,187.70,188.45,190.82,193.97,196.28,204.91,4.09
Input Sequence Length (tokens),4096.00,4096.00,4096.00,409600.00,4096.00,4096.00,4096.00,4096.00,4096.00,4096.00,4096.00,4096.00,4096.00,0.00
Inter Chunk Latency (ms),6.23,0.15,22.04,158268.37,0.83,5.80,5.96,6.10,6.21,6.34,6.53,6.81,11.42,1.30
Inter Token Latency (ms),6.24,6.16,6.47,623.53,6.16,6.19,6.20,6.21,6.22,6.26,6.29,6.33,6.42,0.05
