Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),160.58,0.00,6855.04,,,,,,161.18,,168.29,171.11,199.87,72.53
Active Decode Throughput Per User (tokens/sec/user),160.58,0.00,6855.04,,,,,,161.18,,168.29,171.11,199.87,72.53
Active Prefill Throughput (tokens/sec),20755.53,17416.84,21862.84,,,,,,21113.89,,21703.27,21855.59,21862.84,1142.37
Active Prefill Throughput Per User (tokens/sec/user),20755.53,17416.84,21862.84,,,,,,21113.89,,21703.27,21855.59,21862.84,1142.37
Active Total Throughput (tokens/sec),2458.95,157.14,21862.84,,,,,,161.03,,18799.16,21336.56,21855.59,6496.00
Credit-to-Start Latency (ms),4.11,3.55,7.81,82.28,3.55,3.56,3.61,3.69,3.71,3.85,4.33,7.39,7.72,1.16
Decode Duration (ms),1572.44,1553.73,1583.58,31448.75,1555.61,1563.16,1566.43,1569.92,1572.43,1576.13,1580.06,1582.13,1583.29,6.51
E2E Output Token Throughput (tokens/sec/user),143.23,140.74,145.50,2864.55,140.75,140.79,141.16,142.07,143.13,144.53,144.78,145.09,145.42,1.47
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.07
Effective Decode Concurrency,0.88,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.32
Effective Decode Throughput (tokens/sec),141.95,0.00,6855.04,,,,,,160.38,,167.64,170.73,191.83,85.41
Effective Decode Throughput Per User (tokens/sec/user),141.95,0.00,6855.04,,,,,,160.38,,167.64,170.73,191.83,85.41
Effective Latency (CO-aware) (ms),1774.08,1763.13,1822.92,35481.54,1763.61,1765.54,1766.15,1768.04,1772.63,1775.53,1777.76,1780.19,1814.37,11.99
Effective Prefill Concurrency,0.11,0.00,1.00,,,,,,0.00,,1.00,1.00,1.00,0.31
Effective Prefill Throughput (tokens/sec),2304.80,0.00,21862.84,,,,,,0.00,,18799.16,21336.56,21855.59,6532.23
Effective Prefill Throughput Per User (tokens/sec/user),2304.80,0.00,21862.84,,,,,,0.00,,18799.16,21336.56,21855.59,6532.23
Effective Total Throughput (tokens/sec),2446.75,0.00,21862.84,,,,,,161.03,,18799.16,21336.56,21855.59,6482.16
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,253.60,250.00,256.00,5072.00,250.00,250.00,250.90,252.00,254.00,255.25,256.00,256.00,256.00,2.01
HTTP Chunks Sent,1.00,1.00,1.00,20.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.25,0.00,5.06,5.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,4.10,1.10
HTTP Connection Overhead (ms),0.43,0.00,8.53,8.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.43,6.91,1.86
HTTP Connection Reused (ratio),0.95,0.00,1.00,19.00,0.19,0.95,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.22
HTTP Data Received (KB),59.75,58.88,60.37,1194.92,58.90,58.97,59.16,59.35,59.75,60.15,60.27,60.34,60.36,0.45
HTTP Data Sent (KB),17.07,16.23,18.18,341.38,16.30,16.55,16.70,16.75,17.01,17.33,17.59,17.79,18.10,0.45
HTTP DNS Lookup (ms),0.17,0.00,3.47,3.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17,2.81,0.76
HTTP Duration (excl. conn) (ms),1769.75,1759.24,1818.76,35394.91,1759.71,1761.63,1762.26,1764.19,1768.39,1771.38,1772.08,1776.06,1810.22,11.96
HTTP Receiving (ms),1572.45,1553.82,1583.59,31448.96,1555.69,1563.16,1566.43,1569.93,1572.43,1576.14,1580.07,1582.13,1583.29,6.50
HTTP Sending (ms),0.73,0.36,6.06,14.68,0.36,0.36,0.36,0.37,0.39,0.41,0.74,1.63,5.17,1.24
HTTP Total Time (ms),1770.17,1759.24,1818.76,35403.45,1759.71,1761.63,1762.26,1764.19,1768.39,1771.57,1774.42,1781.82,1811.37,12.16
HTTP Waiting (TTFB) (ms),196.56,186.97,234.80,3931.27,186.98,187.01,188.20,189.48,192.59,201.31,204.14,212.63,230.36,10.97
Input Sequence Length (tokens),4099.75,4099.00,4100.00,81995.00,4099.00,4099.00,4099.00,4099.75,4100.00,4100.00,4100.00,4100.00,4100.00,0.43
Inter Chunk Latency (ms),6.23,0.17,30.67,31448.75,0.79,5.70,5.89,6.06,6.18,6.31,6.50,6.90,11.88,1.46
Inter Token Latency (ms),6.23,6.09,6.36,124.56,6.11,6.16,6.16,6.18,6.22,6.28,6.29,6.30,6.35,0.06
OSL Mismatch Diff % (%),-0.98,-2.73,0.00,-19.53,-2.66,-2.36,-2.34,-1.66,-0.98,0.00,0.00,0.00,0.00,0.94
Output Sequence Length (tokens),253.50,249.00,256.00,5070.00,249.19,249.95,250.00,251.75,253.50,256.00,256.00,256.00,256.00,2.42
Output Token Count (tokens),253.50,249.00,256.00,5070.00,249.19,249.95,250.00,251.75,253.50,256.00,256.00,256.00,256.00,2.42
Output Token Throughput Per User (tokens/sec/user),160.58,157.14,164.12,3211.61,157.47,158.79,158.92,159.31,160.66,161.86,162.24,162.43,163.78,1.60
Prefill Throughput Per User (tokens/sec/user),20818.35,17416.84,21862.85,416367.02,17679.48,18730.03,19975.43,20304.67,21225.23,21554.37,21718.49,21855.96,21861.47,1089.89
Request Latency (ms),1769.96,1759.42,1818.92,35399.26,1759.90,1761.81,1762.45,1764.36,1768.56,1771.73,1772.26,1776.27,1810.39,11.95
Time to First Output Token (ms),197.53,187.53,235.35,3950.51,187.54,187.59,188.78,190.22,193.15,201.91,205.29,218.96,232.07,11.42
Time to First Token (ms),197.53,187.53,235.35,3950.51,187.54,187.59,188.78,190.22,193.15,201.91,205.29,218.96,232.07,11.42
Time to Second Token (ms),0.54,0.20,1.20,10.87,0.20,0.22,0.25,0.49,0.53,0.60,0.76,0.79,1.12,0.21
Tokens In Flight (tokens),4191.98,0.00,4356.00,,,,,,4211.00,,4324.11,4338.96,4350.01,306.49

Metric,Value
Benchmark Duration (sec),35.57
Input Token Throughput (tokens/sec),2304.80
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),142.51
Request Count,20.00
Request Throughput (requests/sec),0.56
Total Input Sequence Length (tokens),81995.00
Total Output Sequence Length (tokens),5070.00
Total Output Tokens (tokens),5070.00
Total Token Throughput (tokens/sec),2447.31
