Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),835.91,3.16,6776.14,,,,,,567.89,,1790.06,1808.99,2012.29,864.90
Active Decode Throughput Per User (tokens/sec/user),60.19,1.58,726.82,,,,,,70.44,,113.48,143.83,155.67,58.07
Active Prefill Throughput (tokens/sec),25749.92,1631.88,69624.15,,,,,,21429.72,,47385.83,63411.04,67819.78,17144.77
Active Prefill Throughput Per User (tokens/sec/user),2758.00,1631.87,19547.50,,,,,,2189.19,,4039.37,6218.79,10015.25,1801.19
Active Total Throughput (tokens/sec),14005.49,147.27,69624.15,,,,,,4405.51,,40295.52,47441.93,64629.85,17371.45
Credit-to-Start Latency (ms),3.72,2.34,5.48,372.10,2.40,3.20,3.34,3.59,3.71,3.87,4.09,4.25,5.24,0.42
Decode Duration (ms),3208.21,1731.40,4561.45,320820.63,1731.50,2291.89,2331.87,2584.15,3137.93,3799.79,4244.85,4489.82,4556.27,719.21
E2E Output Token Throughput (tokens/sec/user),55.42,41.07,107.34,5541.81,49.14,52.09,52.54,53.18,53.55,53.74,54.09,55.37,106.97,10.58
Effective Concurrency,15.08,0.00,16.00,,,,,,16.00,,16.00,16.00,16.00,3.11
Effective Decode Concurrency,10.33,0.00,16.00,,,,,,12.00,,16.00,16.00,16.00,5.83
Effective Decode Throughput (tokens/sec),816.53,0.00,6776.14,,,,,,100.28,,1789.44,1808.29,1980.02,864.02
Effective Decode Throughput Per User (tokens/sec/user),58.79,0.00,726.82,,,,,,25.67,,113.41,143.42,155.16,58.11
Effective Latency (CO-aware) (ms),4690.00,2388.61,5205.26,468999.95,2398.41,4612.28,4735.59,4764.85,4778.31,4791.46,4826.42,4917.36,4962.18,472.76
Effective Prefill Concurrency,4.75,0.00,16.00,,,,,,2.00,,14.00,15.00,16.00,5.61
Effective Prefill Throughput (tokens/sec),13183.92,0.00,69624.15,,,,,,3313.24,,40061.01,47385.83,64629.85,17781.10
Effective Prefill Throughput Per User (tokens/sec/user),1412.09,0.00,19547.50,,,,,,1656.62,,3104.83,4039.37,10015.25,1887.22
Effective Total Throughput (tokens/sec),14000.45,0.00,69624.15,,,,,,4405.51,,40295.52,47441.93,64629.85,17370.36
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,254.52,199.00,256.00,25452.00,248.50,251.95,253.00,255.00,255.00,256.00,256.00,256.00,256.00,5.75
HTTP Chunks Sent,1.00,1.00,1.00,100.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,100.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),59.90,46.86,60.43,5990.27,58.51,59.39,59.63,59.96,60.10,60.23,60.32,60.35,60.42,1.35
HTTP Data Sent (KB),16.99,15.49,17.99,1698.69,15.77,16.05,16.35,16.64,17.07,17.31,17.69,17.75,17.93,0.52
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),4686.08,2384.80,5201.17,468608.33,2392.88,4608.32,4732.00,4760.91,4774.54,4787.70,4822.55,4912.72,4958.11,472.81
HTTP Receiving (ms),3209.54,1731.41,4561.46,320953.66,1731.51,2291.90,2331.87,2584.15,3137.94,3799.80,4244.86,4489.83,4556.27,717.74
HTTP Sending (ms),0.43,0.35,0.81,43.31,0.35,0.35,0.36,0.37,0.39,0.45,0.65,0.68,0.75,0.11
HTTP Total Time (ms),4686.08,2384.80,5201.17,468608.33,2392.88,4608.32,4732.00,4760.91,4774.54,4787.70,4822.55,4912.72,4958.11,472.81
HTTP Waiting (TTFB) (ms),1476.11,208.99,2509.09,147611.36,209.60,233.24,505.61,824.50,1488.13,2119.57,2347.16,2471.66,2509.06,706.44
Input Sequence Length (tokens),4096.00,4096.00,4096.00,409600.00,4096.00,4096.00,4096.00,4096.00,4096.00,4096.00,4096.00,4096.00,4096.00,0.00
Inter Chunk Latency (ms),12.66,1.37,607.90,320820.63,3.47,6.80,8.64,8.91,9.05,9.21,9.46,10.38,299.46,32.08
Inter Token Latency (ms),12.64,6.79,18.03,1264.42,6.79,8.99,9.23,10.23,12.40,14.90,16.71,17.61,18.01,2.80
OSL Mismatch Diff % (%),-0.52,-22.66,0.00,-51.56,-3.32,-1.95,-1.21,-0.10,0.00,0.00,0.00,0.00,0.00,2.31
Output Sequence Length (tokens),254.68,198.00,256.00,25468.00,247.50,251.00,252.90,255.75,256.00,256.00,256.00,256.00,256.00,5.92
Output Token Count (tokens),254.68,198.00,256.00,25468.00,247.50,251.00,252.90,255.75,256.00,256.00,256.00,256.00,256.00,5.92
Output Token Throughput Per User (tokens/sec/user),83.29,55.46,147.28,8329.02,55.53,56.80,59.86,67.11,80.68,97.73,108.31,111.26,147.27,19.64
Prefill Throughput Per User (tokens/sec/user),4384.06,1631.86,19547.50,438406.37,1631.87,1656.72,1744.55,1932.06,2755.18,4964.50,8091.64,17516.50,19493.20,4304.50
Request Latency (ms),4684.96,2384.99,5201.37,468495.83,2393.19,4608.50,4732.23,4761.11,4774.71,4787.89,4821.07,4896.51,4958.29,472.25
Time to First Output Token (ms),1476.75,209.54,2510.02,147675.20,210.12,233.84,506.20,825.06,1488.88,2120.18,2348.09,2472.35,2510.00,706.45
Time to First Token (ms),1476.75,209.54,2510.02,147675.20,210.12,233.84,506.20,825.06,1488.88,2120.18,2348.09,2472.35,2510.00,706.45
Time to Second Token (ms),242.95,1.42,319.80,24295.14,1.42,3.31,4.43,174.87,304.52,309.16,312.47,316.36,319.77,112.05
Tokens In Flight (tokens),62746.84,0.00,69551.80,,,,,,65578.98,,68638.50,69081.28,69442.14,12940.67

Metric,Value
Benchmark Duration (sec),31.06
Input Token Throughput (tokens/sec),13183.92
OSL Mismatch Count,1.00
Output Token Throughput (tokens/sec),819.75
Request Count,100.00
Request Throughput (requests/sec),3.22
Total Input Sequence Length (tokens),409600.00
Total Output Sequence Length (tokens),25468.00
Total Output Tokens (tokens),25468.00
Total Token Throughput (tokens/sec),14003.66


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
