Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),165.35,0.00,6811.50,,,,,,165.91,,170.55,173.17,197.81,69.79
Active Decode Throughput Per User (tokens/sec/user),165.35,0.00,6811.50,,,,,,165.91,,170.55,173.17,197.81,69.79
Active Prefill Throughput (tokens/sec),9135.71,5547.79,10034.07,,,,,,9351.56,,9708.64,9778.85,9920.54,752.56
Active Prefill Throughput Per User (tokens/sec/user),9135.71,5547.79,10034.07,,,,,,9351.56,,9708.64,9778.85,9920.54,752.56
Active Total Throughput (tokens/sec),439.99,0.00,10034.07,,,,,,165.43,,165.67,165.94,9514.61,1550.97
Credit-to-Start Latency (ms),3.87,1.58,8.95,386.80,1.59,1.87,1.95,2.24,3.59,5.12,6.46,6.94,8.15,1.77
Decode Duration (ms),1767.90,0.00,5579.26,176789.89,3.89,68.77,362.74,643.87,1610.09,2753.79,3414.44,4063.37,4581.15,1273.88
E2E Output Token Throughput (tokens/sec/user),153.12,18.60,164.00,15311.61,34.03,102.17,147.43,154.62,161.03,162.92,163.36,163.66,163.91,25.02
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.07
Effective Decode Concurrency,0.96,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.18
Effective Decode Throughput (tokens/sec),159.53,0.00,6811.50,,,,,,165.78,,170.42,173.03,195.02,75.02
Effective Decode Throughput Per User (tokens/sec/user),159.53,0.00,6811.50,,,,,,165.78,,170.42,173.03,195.02,75.02
Effective Latency (CO-aware) (ms),1834.40,60.44,5644.13,183440.47,69.38,134.72,429.64,715.10,1675.74,2820.67,3480.68,4126.23,4650.68,1274.13
Effective Prefill Concurrency,0.03,0.00,1.00,,,,,,0.00,,0.00,0.00,1.00,0.17
Effective Prefill Throughput (tokens/sec),278.37,0.00,10034.07,,,,,,0.00,,0.00,0.00,9514.61,1575.72
Effective Prefill Throughput Per User (tokens/sec/user),278.37,0.00,10034.07,,,,,,0.00,,0.00,0.00,9514.61,1575.72
Effective Total Throughput (tokens/sec),437.90,0.00,10034.07,,,,,,165.43,,165.67,165.94,9514.61,1547.58
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,294.81,2.00,922.00,29481.00,2.99,13.90,62.60,108.75,267.50,458.25,567.10,674.30,759.64,210.52
HTTP Chunks Sent,1.00,1.00,1.00,100.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,100.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),69.33,0.82,215.56,6932.53,1.05,3.59,14.97,25.82,62.90,107.56,132.89,158.29,177.93,49.22
HTTP Data Sent (KB),2.22,1.96,2.48,222.08,1.98,2.03,2.07,2.13,2.23,2.30,2.36,2.38,2.43,0.11
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),1830.36,58.14,5640.42,183036.45,64.77,132.45,424.51,708.61,1671.37,2816.12,3475.53,4123.23,4644.75,1274.14
HTTP Receiving (ms),1774.50,4.55,5585.84,177449.80,10.39,75.15,369.28,650.48,1616.58,2760.54,3421.00,4069.69,4587.77,1273.77
HTTP Sending (ms),0.36,0.32,0.70,36.45,0.33,0.33,0.33,0.34,0.35,0.36,0.38,0.45,0.68,0.06
HTTP Total Time (ms),1830.36,58.14,5640.42,183036.45,64.77,132.45,424.51,708.61,1671.37,2816.12,3475.53,4123.23,4644.75,1274.14
HTTP Waiting (TTFB) (ms),55.50,50.51,91.67,5550.19,50.94,51.86,52.22,52.85,54.11,55.77,59.02,66.46,70.52,5.28
Input Sequence Length (tokens),512.00,512.00,512.00,51200.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,0.00
Inter Chunk Latency (ms),6.04,0.15,20.79,176789.89,0.81,5.70,5.84,5.96,6.03,6.11,6.23,6.37,11.19,1.26
Inter Token Latency (ms),5.98,3.93,6.06,591.67,5.15,5.90,5.97,6.00,6.02,6.03,6.03,6.04,6.06,0.23
OSL Mismatch Diff % (%),-85.62,-99.95,-54.88,-8562.40,-99.90,-99.37,-96.99,-94.70,-86.89,-77.64,-72.33,-67.08,-62.96,10.30
Output Sequence Length (tokens),294.42,1.00,924.00,29442.00,1.99,12.90,61.60,108.50,268.50,458.00,566.60,674.30,758.67,210.85
Output Token Count (tokens),294.42,1.00,924.00,29442.00,1.99,12.90,61.60,108.50,268.50,458.00,566.60,674.30,758.67,210.85
Output Token Throughput Per User (tokens/sec/user),167.68,165.00,254.41,16600.04,165.10,165.59,165.71,165.85,166.12,166.72,167.37,169.50,194.46,9.29
Prefill Throughput Per User (tokens/sec/user),9197.71,5547.78,10034.06,919770.93,7210.74,7641.93,8600.87,9087.97,9371.98,9579.81,9710.01,9779.45,9921.68,667.94
Request Latency (ms),1823.94,53.75,5634.01,182394.27,58.45,126.24,418.13,702.18,1665.05,2809.55,3469.15,4117.08,4638.29,1274.24
Time to First Output Token (ms),56.04,51.03,92.29,5604.38,51.60,52.35,52.73,53.45,54.63,56.34,59.53,67.00,71.05,5.30
Time to First Token (ms),56.04,51.03,92.29,5604.38,51.60,52.35,52.73,53.45,54.63,56.34,59.53,67.00,71.05,5.30
Time to Second Token (ms),3.64,0.87,9.52,360.02,0.87,2.49,2.75,3.44,3.72,3.92,4.05,4.12,8.22,0.97
Tokens In Flight (tokens),725.45,0.00,1436.00,,,,,,690.34,,970.78,1062.00,1231.00,181.36

Metric,Value
Benchmark Duration (sec),183.91
Input Token Throughput (tokens/sec),278.37
OSL Mismatch Count,100.00
Output Token Throughput (tokens/sec),160.08
Request Count,100.00
Request Throughput (requests/sec),0.54
Total Input Sequence Length (tokens),51200.00
Total Output Sequence Length (tokens),29442.00
Total Output Tokens (tokens),29442.00
Total Token Throughput (tokens/sec),438.45
