Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),1711.94,0.00,6045.70,,,,,,2110.05,,2524.41,2773.93,3994.64,960.31
Active Decode Throughput Per User (tokens/sec/user),132.23,0.00,6045.70,,,,,,146.60,,168.02,189.34,288.82,57.69
Active Prefill Throughput (tokens/sec),11040.42,1418.20,29670.17,,,,,,8813.37,,17114.15,19248.32,29670.17,5006.12
Active Prefill Throughput Per User (tokens/sec/user),6878.54,1417.49,10632.09,,,,,,7278.41,,8852.38,9067.46,10414.61,2012.31
Active Total Throughput (tokens/sec),4966.81,155.15,29670.17,,,,,,2065.09,,13546.06,16588.03,26140.45,5695.53
Credit-to-Start Latency (ms),3.83,1.74,24.36,382.71,1.90,2.09,2.25,2.61,2.98,3.97,6.39,7.94,10.38,2.71
Decode Duration (ms),2022.36,5.08,8321.35,202236.02,25.23,184.24,331.16,901.49,1436.78,2875.04,4410.07,5136.42,7104.16,1658.08
E2E Output Token Throughput (tokens/sec/user),118.31,18.50,153.06,11830.82,32.69,89.24,99.97,118.15,123.05,126.61,130.31,135.84,144.20,19.36
Effective Concurrency,13.67,0.00,16.00,,,,,,16.00,,16.00,16.00,16.00,4.74
Effective Decode Concurrency,12.96,0.00,16.00,,,,,,15.00,,16.00,16.00,16.00,4.88
Effective Decode Throughput (tokens/sec),1694.54,0.00,6045.70,,,,,,2100.19,,2520.07,2756.66,3980.00,970.73
Effective Decode Throughput Per User (tokens/sec/user),130.88,0.00,6045.70,,,,,,146.49,,167.87,188.91,286.19,58.91
Effective Latency (CO-aware) (ms),2146.87,97.18,8432.84,214687.33,97.49,278.58,468.55,1038.85,1610.44,2968.62,4487.17,5283.34,7210.22,1666.60
Effective Prefill Concurrency,0.71,0.00,16.00,,,,,,0.00,,2.00,2.00,15.00,2.15
Effective Prefill Throughput (tokens/sec),3266.21,0.00,29670.17,,,,,,0.00,,11763.71,14787.71,26019.51,5727.68
Effective Prefill Throughput Per User (tokens/sec/user),2034.95,0.00,10632.09,,,,,,0.00,,8088.26,8604.93,9265.05,3324.82
Effective Total Throughput (tokens/sec),4960.75,0.00,29670.17,,,,,,2065.09,,13546.06,16588.03,26140.45,5694.70
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,265.48,3.00,1056.00,26548.00,4.98,28.75,44.90,119.50,192.00,363.50,589.80,673.05,964.92,216.84
HTTP Chunks Sent,1.00,1.00,1.00,100.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,100.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),62.48,1.05,247.59,6248.21,1.51,7.08,10.83,28.37,45.33,85.53,138.39,157.97,225.32,50.72
HTTP Data Sent (KB),2.22,1.92,2.44,222.10,2.01,2.06,2.12,2.17,2.23,2.28,2.33,2.35,2.42,0.09
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),2142.85,93.92,8430.07,214284.91,94.57,274.86,460.98,1033.16,1605.44,2964.47,4482.69,5274.19,7206.14,1666.59
HTTP Receiving (ms),2031.50,13.65,8329.37,203149.59,32.78,191.87,339.88,908.94,1444.39,2886.58,4419.25,5166.42,7111.30,1658.97
HTTP Sending (ms),0.43,0.23,0.73,43.03,0.34,0.35,0.36,0.38,0.40,0.45,0.58,0.65,0.71,0.09
HTTP Total Time (ms),2142.85,93.92,8430.07,214284.91,94.57,274.86,460.98,1033.16,1605.44,2964.47,4482.69,5274.19,7206.14,1666.59
HTTP Waiting (TTFB) (ms),110.92,41.74,361.06,11092.29,48.51,55.31,57.29,60.25,78.16,92.28,359.21,360.24,360.47,94.36
Input Sequence Length (tokens),512.00,512.00,512.00,51200.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,0.00
Inter Chunk Latency (ms),7.68,0.17,189.85,202236.02,3.18,4.33,5.21,6.40,6.79,7.10,7.96,13.16,30.04,5.16
Inter Token Latency (ms),7.61,5.08,10.23,760.68,6.34,6.69,6.90,7.40,7.69,7.88,8.03,8.43,9.06,0.60
OSL Mismatch Diff % (%),-86.98,-99.90,-47.95,-8698.10,-99.81,-98.65,-97.81,-94.18,-90.62,-82.07,-70.96,-66.90,-52.59,10.67
Output Sequence Length (tokens),266.63,2.00,1066.00,26663.00,3.98,27.75,44.80,119.25,192.00,367.25,594.80,677.95,970.96,218.58
Output Token Count (tokens),266.63,2.00,1066.00,26663.00,3.98,27.75,44.80,119.25,192.00,367.25,594.80,677.95,970.96,218.58
Output Token Throughput Per User (tokens/sec/user),132.33,97.77,196.69,13232.98,110.38,118.68,124.51,126.96,130.06,135.19,144.87,149.44,157.68,11.24
Prefill Throughput Per User (tokens/sec/user),6413.08,1414.85,12109.45,641307.79,1416.96,1418.19,1421.69,5510.44,6499.36,8408.08,8853.50,9160.23,10431.55,2446.94
Request Latency (ms),2133.92,86.36,8422.26,213391.91,87.87,267.42,450.60,1026.26,1598.02,2953.17,4473.08,5244.48,7199.19,1665.69
Time to First Output Token (ms),111.56,42.28,361.88,11155.89,49.09,55.89,57.83,60.89,78.78,92.92,360.14,361.02,361.34,94.44
Time to First Token (ms),111.56,42.28,361.88,11155.89,49.09,55.89,57.83,60.89,78.78,92.92,360.14,361.02,361.34,94.44
Time to Second Token (ms),11.04,3.14,189.85,1104.50,3.21,3.36,3.56,3.83,4.44,5.05,9.31,18.94,189.29,31.66
Tokens In Flight (tokens),9859.37,0.00,13904.25,,,,,,11070.29,,12355.51,12700.84,13535.09,3107.80

Metric,Value
Benchmark Duration (sec),15.64
Input Token Throughput (tokens/sec),3266.21
OSL Mismatch Count,100.00
Output Token Throughput (tokens/sec),1700.92
Request Count,100.00
Request Throughput (requests/sec),6.38
Total Input Sequence Length (tokens),51200.00
Total Output Sequence Length (tokens),26663.00
Total Output Tokens (tokens),26663.00
Total Token Throughput (tokens/sec),4967.13


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
