Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),539.70,0.00,3963.85,,,,,,638.41,,669.72,681.18,972.81,238.72
Active Decode Throughput Per User (tokens/sec/user),157.23,0.00,1812.29,,,,,,163.19,,170.30,175.08,254.77,53.99
Active Prefill Throughput (tokens/sec),11084.85,4121.17,18209.35,,,,,,10316.75,,14182.40,18209.35,18209.35,2686.61
Active Prefill Throughput Per User (tokens/sec/user),8964.11,4120.63,11281.53,,,,,,9778.84,,10755.16,10755.16,11281.53,2068.15
Active Total Throughput (tokens/sec),1507.95,162.80,18209.35,,,,,,630.84,,633.64,10596.82,14493.72,3188.20
Credit-to-Start Latency (ms),4.69,2.01,12.07,93.80,2.01,2.01,2.32,3.02,3.73,5.88,7.56,8.25,11.31,2.48
Decode Duration (ms),1788.22,331.28,4815.65,35764.30,348.56,417.68,518.74,980.32,1395.95,2109.05,3439.02,4767.43,4806.01,1254.79
E2E Output Token Throughput (tokens/sec/user),150.07,126.27,160.91,3001.49,127.50,132.42,138.33,146.94,151.90,155.26,158.29,159.72,160.67,8.58
Effective Concurrency,3.51,0.00,4.00,,,,,,4.00,,4.00,4.00,4.00,0.95
Effective Decode Concurrency,3.38,0.00,4.00,,,,,,4.00,,4.00,4.00,4.00,1.01
Effective Decode Throughput (tokens/sec),534.52,0.00,3963.85,,,,,,638.03,,669.62,680.83,972.81,243.33
Effective Decode Throughput Per User (tokens/sec/user),155.72,0.00,1812.29,,,,,,163.12,,170.30,175.06,254.77,55.88
Effective Latency (CO-aware) (ms),1867.82,398.42,4951.72,37356.37,415.24,482.53,614.49,1035.83,1503.09,2175.35,3500.75,4835.38,4928.45,1258.34
Effective Prefill Concurrency,0.13,0.00,4.00,,,,,,0.00,,0.00,1.00,3.00,0.49
Effective Prefill Throughput (tokens/sec),971.49,0.00,18209.35,,,,,,0.00,,0.00,10297.25,14182.40,3233.82
Effective Prefill Throughput Per User (tokens/sec/user),785.62,0.00,11281.53,,,,,,0.00,,0.00,9125.93,10667.45,2607.70
Effective Total Throughput (tokens/sec),1506.00,0.00,18209.35,,,,,,630.84,,633.64,10596.82,14493.72,3186.60
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,284.50,50.00,758.00,5690.00,53.04,65.20,81.30,155.50,224.00,337.50,556.80,744.70,755.34,197.87
HTTP Chunks Sent,1.00,1.00,1.00,20.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),1.07,0.00,5.86,21.48,0.00,0.00,0.00,0.00,0.00,0.00,5.19,5.32,5.75,2.15
HTTP Connection Overhead (ms),1.81,0.00,9.63,36.11,0.00,0.00,0.00,0.00,0.00,0.00,8.78,9.00,9.51,3.62
